acc,sync,diff
12.5236,122.19,1
13.7910,121.83,1
12.7710,122.14,1
20.3496,120.15,1
12.1497,122.23,1
15.3595,121.48,1
19.4658,120.48,1
42.7838,113.92,1
12.9250,122.12,1
14.4227,121.76,1
20.4735,120.07,1
21.2288,120.12,1
22.2893,118.14,1
17.5389,120.87,1
28.9461,117.66,1
29.5173,112.73,1
61.4995,101.75,1
14.8949,121.63,1
13.9226,121.84,1
15.2803,121.52,1
46.7395,104.02,1
46.3826,107.25,1
45.7752,106.14,1
46.4740,110.20,1
45.8009,109.13,1
48.1485,112.47,1
54.3831,104.84,1
42.5991,113.05,1
41.8766,107.99,1
39.5787,111.70,1
34.5465,114.81,1
56.0176,105.77,1
22.4870,119.61,1
45.3846,110.81,1
43.6363,109.21,1
43.4710,110.49,1
50.2128,109.91,1
49.6622,109.29,1
27.3946,118.27,1
27.9343,118.09,1
26.3292,118.54,1
27.0028,118.42,1
56.7213,109.83,1
44.6787,110.94,1
46.3966,107.31,1
21.6383,119.62,1
20.6361,120.25,1
29.9810,114.36,1
27.4379,118.05,1
16.8209,121.12,1
17.2405,121.06,1
13.6399,121.92,1
15.6681,121.47,1
15.3563,121.56,1
14.3434,121.76,1
15.6837,121.42,1
11.9693,122.31,1
18.2593,120.56,1
25.6106,118.87,1
14.1674,121.81,1
50.2406,111.55,1
50.4107,106.36,1
54.7524,108.80,1
49.5640,108.90,1
50.8670,111.47,1
58.2728,107.56,1
44.0595,110.18,1
46.0013,110.44,1
28.0674,115.08,1
22.9068,119.46,1
31.7052,115.06,1
29.7625,117.64,1
13.7741,121.90,1
12.3331,122.24,1
16.2173,121.21,1
42.7826,111.57,1
42.1814,112.68,1
43.4190,108.61,1
24.5904,119.10,1
41.4457,112.11,1
60.1372,104.90,1
23.6014,119.48,1
44.9125,109.55,1
22.0677,119.89,1
23.8028,119.42,1
20.9647,120.03,1
23.9196,119.42,1
22.5182,119.73,1
19.0772,120.59,1
14.8002,121.62,1
13.9305,121.82,1
16.2838,121.26,1
42.2936,112.04,1
17.5256,120.98,1
16.9087,121.11,1
40.1781,111.31,1
30.7893,113.36,1
16.1256,121.26,1
13.2464,121.99,1
13.1597,121.90,1
12.5955,122.14,1
14.5213,121.74,1
15.5043,121.55,1
13.3496,122.00,1
14.2699,121.74,1
13.1182,122.05,1
16.5527,121.23,1
14.8532,121.59,1
14.7462,121.67,1
13.8459,121.89,1
14.4667,121.73,1
14.1981,121.73,1
13.8458,121.89,1
16.3347,121.28,1
35.4247,115.90,1
34.6384,116.30,1
56.3842,105.89,1
40.6480,114.97,1
58.6388,105.48,1
41.3404,113.21,1
39.5299,115.07,1
20.4614,118.17,1
19.8529,118.12,1
19.6527,120.13,1
16.8032,121.12,1
15.5000,121.49,1
14.3687,121.73,1
12.4458,122.19,1
18.2392,118.37,1
12.7293,122.13,1
13.9476,121.75,1
14.9664,121.57,1
17.7984,120.93,1
15.5369,121.38,1
19.9911,120.41,1
15.8798,117.77,1
17.4145,120.99,1
16.4068,121.25,1
17.8447,120.89,1
13.7647,121.85,1
15.1457,121.52,1
14.5478,121.73,1
13.7863,121.92,1
11.7593,122.37,1
12.3985,122.20,1
11.4269,122.43,1
12.1364,122.26,1
14.3743,121.78,1
13.8796,121.88,1
14.3118,121.81,1
12.4824,122.22,1
13.6990,121.90,1
11.4389,122.45,1
17.1172,121.07,1
12.4454,122.19,1
15.4864,121.47,1
15.1588,121.61,1
16.7688,121.13,1
14.5721,121.72,1
18.1294,120.69,1
15.0820,121.45,1
16.4304,121.18,1
15.9166,121.42,1
14.4350,121.73,1
14.2964,121.72,1
14.1889,121.70,1
13.5562,121.86,1
13.4541,121.89,1
13.3276,121.93,1
13.3124,122.01,1
41.9751,114.16,1
42.0073,113.99,1
19.1695,120.48,1
19.5130,120.45,1
28.9900,112.80,1
30.9956,117.25,1
14.4503,121.74,1
15.7378,121.45,1
12.9381,122.09,1
29.7802,112.09,1
31.6649,117.19,1
25.6606,118.90,1
21.6677,119.84,1
32.2730,116.76,1
31.5417,112.10,1
35.9625,109.13,1
34.3558,110.39,1
27.9999,118.12,1
24.0954,119.29,1
35.0523,112.14,1
41.1887,108.93,1
18.6469,120.59,1
18.3382,117.48,1
17.1570,121.01,1
17.9868,120.73,1
15.0993,121.59,1
25.6944,118.66,1
14.0833,121.83,1
18.8443,120.65,1
50.9417,108.61,1
19.8535,120.31,1
19.1046,120.49,1
20.2262,120.31,1
21.8268,120.03,1
42.4179,112.92,1
19.9633,118.80,1
16.1890,121.26,1
16.7926,121.14,1
17.5152,120.93,1
16.6830,121.18,1
18.1130,120.81,1
19.2241,120.52,1
20.0096,120.35,1
19.7081,120.39,1
14.8939,121.65,1
24.3424,119.19,1
15.3116,121.51,1
13.4162,121.91,1
14.4683,121.74,1
13.3304,122.01,1
15.3808,121.48,1
14.7334,121.64,1
17.2728,121.06,1
19.6739,120.48,1
18.6704,120.54,1
33.1887,110.51,1
59.9533,101.86,1
56.5084,106.09,1
36.4590,114.41,1
33.9969,113.01,1
19.4386,119.96,1
14.6588,121.74,1
31.5444,116.87,1
21.4860,119.84,1
19.6661,120.40,1
39.1382,114.86,1
14.6346,121.66,1
15.7766,121.30,1
18.4317,120.81,1
16.2586,121.27,1
13.1987,122.00,1
16.4638,121.26,1
17.5422,120.96,1
21.0443,120.18,1
16.9666,121.14,1
24.7877,118.87,1
19.7397,120.42,1
18.5408,120.72,1
22.6938,118.02,1
20.6639,118.82,1
23.4713,119.36,1
17.4279,121.04,1
27.3755,118.13,1
19.3695,120.44,1
15.9095,121.33,1
16.0585,121.21,1
19.5910,120.49,1
17.7054,120.94,1
35.6756,116.05,1
16.3759,121.30,1
30.3785,112.59,1
19.9161,115.90,1
24.4327,113.94,1
24.4550,119.14,1
26.8313,111.02,1
24.5509,114.58,1
33.7304,114.25,1
16.0138,121.43,1
14.0293,121.83,1
15.9271,121.32,1
15.8753,121.40,1
17.8457,120.88,1
14.9537,121.62,1
14.6320,121.62,1
14.5274,121.71,1
16.2473,121.29,1
16.9558,121.13,1
13.6009,121.93,1
13.9315,121.85,1
15.1150,121.55,1
14.1812,121.82,1
17.8788,120.96,1
14.6991,121.71,1
16.5557,121.20,1
16.2833,121.28,1
19.4843,120.53,1
16.4149,121.21,1
18.5389,120.72,1
15.4278,121.48,1
14.8140,121.64,1
15.4680,121.45,1
13.9718,121.84,1
12.0639,122.31,1
14.9673,121.56,1
17.0401,121.05,1
17.1997,121.04,1
20.8318,120.17,1
31.0268,113.13,1
22.8475,119.59,1
17.4224,120.98,1
25.3120,114.62,1
19.0898,120.61,1
19.9914,120.27,1
16.9538,121.06,1
33.6156,116.00,1
58.5916,101.84,1
53.1777,105.37,1
20.6063,120.18,1
18.3723,120.74,1
16.4024,121.20,1
19.2723,120.49,1
16.0068,121.33,1
19.5635,120.51,1
18.5682,120.70,1
22.6988,117.61,1
21.7237,119.87,1
15.7539,121.39,1
17.8547,120.89,1
14.4785,121.72,1
18.1067,117.21,1
15.3229,121.50,1
19.2945,116.46,1
18.4891,118.17,1
14.8511,121.65,1
16.4444,121.26,1
15.9755,121.40,1
19.2770,120.43,1
37.2904,113.33,1
34.5081,112.87,1
33.5484,113.97,1
35.1063,115.12,1
19.4623,120.39,1
19.2027,120.59,1
61.1061,100.09,1
55.6452,105.44,1
62.8593,100.76,1
50.2484,107.43,1
36.3382,115.88,1
16.4986,121.23,1
46.7297,108.51,1
45.7059,113.06,1
36.0325,115.50,1
33.8497,113.65,1
38.1868,112.39,1
42.7180,112.28,1
35.9116,114.64,1
31.9459,115.87,1
30.3958,117.26,1
33.1984,113.01,1
45.2938,108.23,1
36.4290,111.85,1
39.1346,107.65,1
28.0617,111.46,1
28.4618,112.19,1
50.9516,102.94,1
43.9219,104.23,1
35.1177,109.42,1
45.3927,106.89,1
55.2015,101.00,1
15.8778,121.39,1
19.5913,120.45,1
22.4294,119.60,1
70.1976,94.43,1
47.2335,106.16,1
19.1363,118.81,1
17.9046,120.83,1
19.6282,120.34,1
21.9748,119.71,1
17.3205,120.97,1
19.1786,120.56,1
22.6174,119.58,1
25.1541,116.37,1
20.3655,120.02,1
14.3906,121.78,1
16.5554,121.21,1
13.7742,121.92,1
12.9599,122.06,1
14.2555,121.79,1
14.2017,121.81,1
11.1080,122.49,1
14.8947,121.68,1
14.2422,121.79,1
13.2725,121.97,1
14.3917,117.45,1
12.5724,122.17,1
15.6761,121.41,1
14.1457,121.78,1
16.3689,116.38,1
16.8321,121.14,1
13.0809,122.06,1
16.5497,121.14,1
14.6722,121.67,1
15.7175,121.44,1
15.8100,121.38,1
16.3690,121.17,1
14.1342,121.80,1
14.7634,121.62,1
14.0093,121.82,1
12.7761,122.14,1
41.0940,106.88,1
14.5917,121.67,1
14.1169,121.78,1
14.5613,121.70,1
17.1702,121.02,1
24.9680,119.04,1
12.0983,122.27,1
21.9715,119.77,1
19.1655,120.46,1
53.5098,100.59,1
17.1055,121.02,1
13.8950,121.87,1
14.7546,119.59,1
37.0073,107.49,1
14.7890,121.69,3
15.5914,121.35,4
75.7944,91.19,14
29.5405,116.79,5
18.7320,120.60,5
23.2364,119.34,7
13.5759,121.96,3
16.6655,121.25,4
37.4266,106.11,10
30.9140,117.49,8
24.0502,116.05,8
26.1484,113.10,8
26.4259,114.91,8
22.2977,115.29,7
15.4239,121.51,7
13.5713,121.94,7
19.0519,120.61,6
23.5951,119.39,7
28.9542,112.55,7
36.3412,115.63,8
18.1157,120.83,7
22.6261,116.58,7
19.5363,120.20,2
19.0712,120.60,2
15.3504,120.29,2
16.2840,121.24,2
15.0438,121.61,2
15.6277,121.39,2
24.5631,115.30,7
20.1405,116.73,7
